vuln_id,severity_raw,ip,hostname,port,instance_id,component,affected_version,cvss_score,cvss_vector,description,references,title,fix_version,published_date,epss_score,kev_flag,exploit_exists,exploit_count
CVE-2021-44228,CRITICAL,172.16.10.11,,8443.0,i-a1b2c3,log4j-core,2.14.1,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,Apache Log4j2 JNDI lookups can be exploited to execute arbitrary code via a crafted string in any location where Log4j logs are enabled.,"['https://nvd.nist.gov/vuln/detail/CVE-2021-44228', 'https://logging.apache.org/log4j/2.x/security.html', 'https://github.com/advisories/GHSA-jfh8-c2jp-hdp8']","CVE-2021-44228: Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2...",2.7.0,2021-12-10,0.99999,1,1,3
CVE-2021-44228,CRITICAL,172.16.10.11,,8443.0,i-a1b2c3,log4j-core,2.14.1,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,Apache Log4j2 JNDI lookups can be exploited to execute arbitrary code via a crafted string in any location where Log4j logs are enabled.,"['https://nvd.nist.gov/vuln/detail/CVE-2021-44228', 'https://logging.apache.org/log4j/2.x/security.html', 'https://github.com/advisories/GHSA-jfh8-c2jp-hdp8']","CVE-2021-44228: Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2...",2.7.0,2021-12-10,0.99999,1,1,3
CVE-2021-44228,CRITICAL,172.16.10.11,,8443.0,i-a1b2c3,log4j-core,2.14.1,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,Apache Log4j2 JNDI lookups can be exploited to execute arbitrary code via a crafted string in any location where Log4j logs are enabled.,"['https://nvd.nist.gov/vuln/detail/CVE-2021-44228', 'https://logging.apache.org/log4j/2.x/security.html', 'https://github.com/advisories/GHSA-jfh8-c2jp-hdp8']","CVE-2021-44228: Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2...",2.7.0,2021-12-10,0.99999,1,1,3
CVE-2020-1938,CRITICAL,172.16.10.16,,8501.0,,tomcat,9.0.1,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Apache Tomcat AJP connector (Ghostcat) allows reading of web app files and RCE if the app allows file upload.,"['https://nvd.nist.gov/vuln/detail/CVE-2020-1938', 'https://tomcat.apache.org/security-9.html', 'https://github.com/YDHCUI/CNVD-2020-10487-Tomcat-Ajp-lfi']","CVE-2020-1938: When using the Apache JServ Protocol (AJP), care must be taken when trusting ...",7.0.100,2020-02-24,0.9927,1,1,2
CVE-2020-1938,CRITICAL,172.16.10.16,,8501.0,,tomcat,9.0.1,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Apache Tomcat AJP connector (Ghostcat) allows reading of web app files and RCE if the app allows file upload.,"['https://nvd.nist.gov/vuln/detail/CVE-2020-1938', 'https://tomcat.apache.org/security-9.html', 'https://github.com/YDHCUI/CNVD-2020-10487-Tomcat-Ajp-lfi']","CVE-2020-1938: When using the Apache JServ Protocol (AJP), care must be taken when trusting ...",7.0.100,2020-02-24,0.9927,1,1,2
CVE-2020-1938,CRITICAL,172.16.10.16,,8501.0,,tomcat,9.0.1,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Apache Tomcat AJP connector (Ghostcat) allows reading of web app files and RCE if the app allows file upload.,"['https://nvd.nist.gov/vuln/detail/CVE-2020-1938', 'https://tomcat.apache.org/security-9.html', 'https://github.com/YDHCUI/CNVD-2020-10487-Tomcat-Ajp-lfi']","CVE-2020-1938: When using the Apache JServ Protocol (AJP), care must be taken when trusting ...",7.0.100,2020-02-24,0.9927,1,1,2
CVE-2019-0708,CRITICAL,172.16.10.17,,,i-j1k2l3,rdp-service,7.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,BlueKeep: A remote code execution vulnerability exists in Remote Desktop Services – formerly known as Terminal Services – when an unauthenticated attacker connects using RDP.,"['https://nvd.nist.gov/vuln/detail/CVE-2019-0708', 'https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0708', 'https://github.com/rapid7/metasploit-framework/pull/12283']",CVE-2019-0708: A remote code execution vulnerability exists in Remote Desktop Services forme...,<= 2.3.2,2019-05-16,0.99999,1,1,6
CVE-2019-0708,CRITICAL,172.16.10.17,,,i-j1k2l3,rdp-service,7.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,BlueKeep: A remote code execution vulnerability exists in Remote Desktop Services – formerly known as Terminal Services – when an unauthenticated attacker connects using RDP.,"['https://nvd.nist.gov/vuln/detail/CVE-2019-0708', 'https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0708', 'https://github.com/rapid7/metasploit-framework/pull/12283']",CVE-2019-0708: A remote code execution vulnerability exists in Remote Desktop Services forme...,<= 2.3.2,2019-05-16,0.99999,1,1,6
CVE-2019-0708,CRITICAL,172.16.10.17,,,i-j1k2l3,rdp-service,7.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,BlueKeep: A remote code execution vulnerability exists in Remote Desktop Services – formerly known as Terminal Services – when an unauthenticated attacker connects using RDP.,"['https://nvd.nist.gov/vuln/detail/CVE-2019-0708', 'https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0708', 'https://github.com/rapid7/metasploit-framework/pull/12283']",CVE-2019-0708: A remote code execution vulnerability exists in Remote Desktop Services forme...,<= 2.3.2,2019-05-16,0.99999,1,1,6
CVE-2022-26134,CRITICAL,172.16.10.18,,,,confluence,7.13.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Atlassian Confluence Server and Data Center OGNL injection vulnerability allows unauthenticated remote code execution.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-26134', 'https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html', 'https://github.com/jbaines-r7/through_the_wire']","CVE-2022-26134: In affected versions of Confluence Server and Data Center, an OGNL injection ...",7.4.17,2022-06-03,0.99999,1,1,1
