vuln_id,severity_raw,ip,instance_id,hostname,port,component,affected_version,cvss_score,cvss_vector,description,references,title,fix_version,published_date,epss_score,kev_flag,exploit_exists,exploit_count,asset_id,inferred_role,exposure_score,environment,cloud_type,dependency_level,dependency_score,asset_criticality_score,first_seen,last_seen,priority_score,priority_level,fix_available
CVE-2023-4863,HIGH,10.110.172.27,,fraud-detection-api.internal,,pillow,5.4.1,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,libwebp: OOB write in BuildHuffmanTable,"['https://nvd.nist.gov/vuln/detail/CVE-2023-4863', 'https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_11.html', 'https://crbug.com/1479274', 'https://github.com/qnighy/libwebp-sys2-rs/pull/21', 'https://github.com/qnighy/libwebp-sys2-rs/commit/4560c473a76ec8bd8c650f19ddf9d7a44f719f8b', 'https://github.com/webmproject/libwebp/commit/902bc9190331343b2017211debcec8d2ab87e17a', 'https://bugzilla.suse.com/show_bug.cgi?id=1215231', 'https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-4863', 'https://news.ycombinator.com/item?id=37478403', 'https://rustsec.org/advisories/RUSTSEC-2023-0060.html', 'https://security-tracker.debian.org/tracker/CVE-2023-4863', 'https://github.com/electron/electron/pull/39823', 'https://github.com/electron/electron/pull/39825', 'https://github.com/electron/electron/pull/39826', 'https://github.com/electron/electron/pull/39827', 'https://github.com/electron/electron/pull/39828', 'https://github.com/webmproject/libwebp/releases/tag/v1.3.2', 'https://lists.debian.org/debian-lts-announce/2023/09/msg00015.html', 'https://lists.debian.org/debian-lts-announce/2023/09/msg00016.html', 'https://lists.debian.org/debian-lts-announce/2023/09/msg00017.html', 'https://rustsec.org/advisories/RUSTSEC-2023-0061.html', 'https://security.gentoo.org/glsa/202309-05', 'https://www.debian.org/security/2023/dsa-5496', 'https://www.debian.org/security/2023/dsa-5497', 'https://www.debian.org/security/2023/dsa-5498', 'http://www.openwall.com/lists/oss-security/2023/09/21/4', 'http://www.openwall.com/lists/oss-security/2023/09/22/1', 'http://www.openwall.com/lists/oss-security/2023/09/22/3', 'http://www.openwall.com/lists/oss-security/2023/09/22/4', 'http://www.openwall.com/lists/oss-security/2023/09/22/5', 'http://www.openwall.com/lists/oss-security/2023/09/22/6', 'http://www.openwall.com/lists/oss-security/2023/09/22/7', 'http://www.openwall.com/lists/oss-security/2023/09/22/8', 'http://www.openwall.com/lists/oss-security/2023/09/26/1', 'http://www.openwall.com/lists/oss-security/2023/09/26/7', 'http://www.openwall.com/lists/oss-security/2023/09/28/1', 'http://www.openwall.com/lists/oss-security/2023/09/28/2', 'http://www.openwall.com/lists/oss-security/2023/09/28/4', 'https://github.com/jaredforth/webp/pull/30', 'https://github.com/python-pillow/Pillow/pull/7395', 'https://github.com/jaredforth/webp/commit/9d4c56e63abecc777df71c702503c3eaabd7dcbc', 'https://pillow.readthedocs.io/en/stable/releasenotes/10.0.1.html#security', 'https://github.com/ImageMagick/ImageMagick/discussions/6664', 'https://github.com/dlemstra/Magick.NET/releases/tag/13.3.0', 'https://security.gentoo.org/glsa/202401-10', 'https://sethmlarson.dev/security-developer-in-residence-weekly-report-16', 'https://security.netapp.com/advisory/ntap-20230929-0011', 'https://stackdiary.com/critical-vulnerability-in-webp-codec-cve-2023-4863', 'https://www.bentley.com/advisories/be-2023-0001', 'https://www.bleepingcomputer.com/news/google/google-fixes-another-chrome-zero-day-bug-exploited-in-attacks', 'https://www.mozilla.org/en-US/security/advisories/mfsa2023-40', 'https://www.vicarius.io/vsociety/posts/zero-day-webp-vulnerability-cve-2023-4863', 'https://adamcaudill.com/2023/09/14/whose-cve-is-it-anyway', 'https://blog.isosceles.com/the-webp-0day', 'https://en.bandisoft.com/honeyview/history', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/FYYKLG6CRGEDTNRBSU26EEWAO6D6U645', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/OZDGWWMJREPAGKWCJKSCM4WYLANSKIFX', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/PYZV7TMKF4QHZ54SFJX54BDN52VHGGCX', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WHOLML7N2G5KCAZXFWC5IDFFHSQS5SDB', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I']",CVE-2023-4863: Heap buffer overflow in libwebp in Google Chrome prior to 116.0.5845.187 and ...,116.0.5845.187,12-09-2023,0.93301,1,1,1,ca8aa494-fa92-4695-bcf1-a2704ee1afcc,fraud_detection_api,0.5,prod,azure,critical,1.0,0.75,04-07-2022 11:54,2026-06-16T04:53:49.070884+00:00,8.94,HIGH,1
CVE-2021-3749,HIGH,10.134.91.130,,,,axios,0.19.0,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,axios Inefficient Regular Expression Complexity vulnerability,"['https://nvd.nist.gov/vuln/detail/CVE-2021-3749', 'https://github.com/axios/axios/commit/5b457116e31db0e88fede6c428e969e87f290929', 'https://huntr.dev/bounties/1e8f07fc-c384-4ff9-8498-0690de2e8c31', 'https://www.npmjs.com/package/axios', 'https://lists.apache.org/thread.html/r075d464dce95cd13c03ff9384658edcccd5ab2983b82bfc72b62bb10@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/r216f0fd0a3833856d6a6a1fada488cadba45f447d87010024328ccf2@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/r3ae6d2654f92c5851bdb73b35e96b0e4e3da39f28ac7a1b15ae3aab8@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/r4bf1b32983f50be00f9752214c1b53738b621be1c2b0dbd68c7f2391@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/r7324ecc35b8027a51cb6ed629490fcd3b2d7cf01c424746ed5744bf1@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/r74d0b359408fff31f87445261f0ee13bdfcac7d66f6b8e846face321@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/ra15d63c54dc6474b29f72ae4324bcb03038758545b3ab800845de7a1@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/rc263bfc5b53afcb7e849605478d73f5556eb0c00d1f912084e407289@%3Ccommits.druid.apache.org%3E', 'https://lists.apache.org/thread.html/rfa094029c959da0f7c8cd7dc9c4e59d21b03457bf0cedf6c93e1bb0a@%3Cdev.druid.apache.org%3E', 'https://lists.apache.org/thread.html/rfc5c478053ff808671aef170f3d9fc9d05cc1fab8fb64431edc66103@%3Ccommits.druid.apache.org%3E', 'https://www.oracle.com/security-alerts/cpujul2022.html', 'https://cert-portal.siemens.com/productcert/pdf/ssa-637483.pdf']",CVE-2021-3749: axios is vulnerable to Inefficient Regular Expression Complexity,<= 0.21.1,31-08-2021,0.08894,0,0,0,34581812-a35e-4c0a-b576-64331cdce4cf,UNKNOWN,0.5,UNKNOWN,NONE,LOW,0.25,0.38,06:06.8,2026-06-16T04:53:49.070884+00:00,3.5,LOW,1
CVE-2023-32681,MEDIUM,10.57.12.190,i-05ed25,payment-db.internal,,requests,2.18.0,6.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:N/A:N,Unintended leak of Proxy-Authorization header in requests,"['https://github.com/psf/requests/security/advisories/GHSA-j8r2-6x86-q33q', 'https://github.com/psf/requests/commit/74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5', 'https://nvd.nist.gov/vuln/detail/CVE-2023-32681', 'https://github.com/psf/requests/releases/tag/v2.31.0', 'https://github.com/pypa/advisory-database/tree/main/vulns/requests/PYSEC-2023-74.yaml', 'https://lists.debian.org/debian-lts-announce/2023/06/msg00018.html', 'https://security.gentoo.org/glsa/202309-08', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/AW7HNFGYP44RT3DUDQXG2QT3OEV2PJ7Y', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KOYASTZDGQG2BWLSNBPL3TQRL2G7QYNZ']","CVE-2023-32681: Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking P...",2.31.0,26-05-2023,0.06809,0,0,0,4effa8e8-92bb-47bb-a776-7ec04d03d8fe,payment_db,0.5,prod,aws,critical,1.0,0.75,05-04-2022 23:06,2026-06-16T04:53:49.070884+00:00,4.54,MEDIUM,1
CVE-2019-16865,HIGH,10.57.12.191,i-09af73,invoice-service.internal,,pillow,5.4.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,DOS attack in Pillow when processing specially crafted image files,"['https://nvd.nist.gov/vuln/detail/CVE-2019-16865', 'https://github.com/python-pillow/Pillow/issues/4123', 'https://pillow.readthedocs.io/en/latest/releasenotes/6.2.0.html', 'https://access.redhat.com/errata/RHSA-2020:0566', 'https://access.redhat.com/errata/RHSA-2020:0578', 'https://access.redhat.com/errata/RHSA-2020:0580', 'https://www.debian.org/security/2020/dsa-4631', 'https://access.redhat.com/errata/RHSA-2020:0681', 'https://access.redhat.com/errata/RHSA-2020:0683', 'https://access.redhat.com/errata/RHSA-2020:0694', 'https://github.com/python-pillow/Pillow/commit/ab52630d0644e42a75eb88b78b9a9d7438a6fbeb', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/EMJBUZQGQ2Q7HXYCQVRLU7OXNC7CAWWU', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/LYDXD7EE4YAEVSTNIFZKNVPRVJX5ZOG3', 'https://ubuntu.com/security/notices/USN-4272-1', 'https://usn.ubuntu.com/4272-1', 'https://github.com/pypa/advisory-database/tree/main/vulns/pillow/PYSEC-2019-110.yaml']",CVE-2019-16865: An issue was discovered in Pillow before 6.2.0. When reading specially crafte...,6.2.0,04-10-2019,0.03942,0,0,0,f90c764f-3161-4743-bd40-9cb2f7810b2a,API,0.5,UNKNOWN,NONE,HIGH,0.75,0.63,52:26.1,2026-06-16T04:53:49.070884+00:00,4.03,MEDIUM,1
CVE-2019-10744,CRITICAL,10.110.172.99,,customer-portal.internal,,lodash,4.17.4,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,Prototype Pollution in lodash,"['https://github.com/lodash/lodash/pull/4336', 'https://nvd.nist.gov/vuln/detail/CVE-2019-10744', 'https://snyk.io/vuln/SNYK-JS-LODASH-450202', 'https://access.redhat.com/errata/RHSA-2019:3024', 'https://support.f5.com/csp/article/K47105354?utm_source=f5support&amp;utm_medium=RSS', 'https://www.oracle.com/security-alerts/cpujan2021.html', 'https://www.oracle.com/security-alerts/cpuoct2020.html', 'https://support.f5.com/csp/article/K47105354?utm_source=f5support&amp%3Butm_medium=RSS', 'https://security.netapp.com/advisory/ntap-20191004-0005', 'https://github.com/rubysec/ruby-advisory-db/blob/master/gems/lodash-rails/CVE-2019-10744.yml']",CVE-2019-10744: Versions of lodash lower than 4.17.12 are vulnerable to Prototype Pollution. ...,4.17.12,26-07-2019,0.14515,0,0,0,440015ba-b0c7-4722-a16f-1ba9d1ff05b9,WEB,0.5,PROD,NONE,HIGH,0.75,0.63,52:26.1,2026-06-16T04:53:49.070884+00:00,4.64,MEDIUM,1
CVE-2020-8203,HIGH,10.200.50.15,,hr-db.internal,,lodash,4.17.4,7.4,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,Prototype Pollution in lodash,"['https://github.com/lodash/lodash/issues/4744', 'https://github.com/lodash/lodash/commit/c84fe82760fb2d3e03a63379b297a1cc1a2fce12', 'https://nvd.nist.gov/vuln/detail/CVE-2020-8203', 'https://hackerone.com/reports/712065', 'https://github.com/lodash/lodash/issues/4874', 'https://github.com/github/advisory-database/pull/2884', 'https://hackerone.com/reports/864701', 'https://github.com/lodash/lodash/wiki/Changelog#v41719', 'https://web.archive.org/web/20210914001339/https://github.com/lodash/lodash/issues/4744', 'https://security.netapp.com/advisory/ntap-20200724-0006', 'https://github.com/rubysec/ruby-advisory-db/blob/master/gems/lodash-rails/CVE-2020-8203.yml']",CVE-2020-8203: Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,4.17.20,15-07-2020,0.02615,0,0,0,313a9a4c-c756-4194-abd6-42a95984a06e,DATABASE,0.5,UNKNOWN,NONE,HIGH,0.75,0.63,52:26.1,2026-06-16T04:53:49.070884+00:00,3.98,LOW,1
CVE-2022-22817,CRITICAL,10.45.78.10,i-0ff782,,,pillow,5.4.1,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Arbitrary expression injection in Pillow,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22817', 'https://pillow.readthedocs.io/en/stable/releasenotes/9.0.0.html#restrict-builtins-available-to-imagemath-eval', 'https://lists.debian.org/debian-lts-announce/2022/01/msg00018.html', 'https://www.debian.org/security/2022/dsa-5053', 'https://github.com/python-pillow/Pillow/commit/8531b01d6cdf0b70f256f93092caa2a5d91afc11', 'https://pillow.readthedocs.io/en/stable/releasenotes/9.0.1.html#security', 'https://security.gentoo.org/glsa/202211-10', 'https://lists.debian.org/debian-lts-announce/2024/03/msg00021.html', 'https://github.com/pypa/advisory-database/tree/main/vulns/pillow/PYSEC-2022-10.yaml']",CVE-2022-22817: PIL.ImageMath.eval in Pillow before 9.0.0 allows evaluation of arbitrary expr...,9.0.1,10-01-2022,0.02781,0,0,0,d76f1270-0b00-4956-b445-9567aa390d94,UNKNOWN,0.5,UNKNOWN,NONE,LOW,0.25,0.38,52:26.1,2026-06-16T04:53:49.070884+00:00,3.96,LOW,1
CVE-2020-5312,CRITICAL,,,reporting-api.internal,,pillow,5.4.1,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,PCX P mode buffer overflow in Pillow,"['https://nvd.nist.gov/vuln/detail/CVE-2020-5312', 'https://github.com/python-pillow/Pillow/commit/93b22b846e0269ee9594ff71a72bec02d2bea8fd', 'https://access.redhat.com/errata/RHSA-2020:0566', 'https://access.redhat.com/errata/RHSA-2020:0578', 'https://access.redhat.com/errata/RHSA-2020:0580', 'https://access.redhat.com/errata/RHSA-2020:0681', 'https://access.redhat.com/errata/RHSA-2020:0683', 'https://access.redhat.com/errata/RHSA-2020:0694', 'https://github.com/pypa/advisory-db/blob/7872b0a91b4d980f749e6d75a81f8cc1af32829f/vulns/pillow/PYSEC-2020-83.yaml', 'https://pillow.readthedocs.io/en/stable/releasenotes/6.2.2.html', 'https://www.debian.org/security/2020/dsa-4631', 'https://github.com/pypa/advisory-database/tree/main/vulns/pillow/PYSEC-2020-83.yaml', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/2MMU3WT2X64GS5WHDPKKC2WZA7UIIQ3A', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/3DUMIBUYGJRAVJCTFUWBRLVQKOUTVX5P', 'https://usn.ubuntu.com/4272-1']",CVE-2020-5312: libImaging/PcxDecode.c in Pillow before 6.2.2 has a PCX P mode buffer overflow.,6.2.2,03-01-2020,0.01753,0,0,0,89cd0d5f-7dd3-419e-a441-0e653438e51c,API,0.5,UNKNOWN,NONE,HIGH,0.75,0.63,52:26.1,2026-06-16T04:53:49.070884+00:00,4.56,MEDIUM,1
CVE-2020-5311,CRITICAL,10.88.44.77,,,,pillow,5.4.1,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Buffer Copy without Checking Size of Input in Pillow,"['https://nvd.nist.gov/vuln/detail/CVE-2020-5311', 'https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3', 'https://access.redhat.com/errata/RHSA-2020:0566', 'https://access.redhat.com/errata/RHSA-2020:0580', 'https://pillow.readthedocs.io/en/stable/releasenotes/6.2.2.html', 'https://www.debian.org/security/2020/dsa-4631', 'https://github.com/pypa/advisory-database/tree/main/vulns/pillow/PYSEC-2020-82.yaml', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/2MMU3WT2X64GS5WHDPKKC2WZA7UIIQ3A', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/3DUMIBUYGJRAVJCTFUWBRLVQKOUTVX5P', 'https://usn.ubuntu.com/4272-1']",CVE-2020-5311: libImaging/SgiRleDecode.c in Pillow before 6.2.2 has an SGI buffer overflow.,6.2.2,03-01-2020,0.01146,0,0,0,e757e8b1-1a9a-459e-a573-816d85820464,UNKNOWN,0.5,UNKNOWN,NONE,LOW,0.25,0.38,06:06.8,2026-06-16T04:53:49.070884+00:00,3.92,LOW,1
CVE-2024-45590,HIGH,10.77.11.22,,bastion-host.internal,,body-parser,1.19.0,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,body-parser vulnerable to denial of service when url encoding is enabled,"['https://github.com/expressjs/body-parser/security/advisories/GHSA-qwcr-r2fm-qrc7', 'https://github.com/expressjs/body-parser/commit/b2695c4450f06ba3b0ccf48d872a229bb41c9bce', 'https://nvd.nist.gov/vuln/detail/CVE-2024-45590']",CVE-2024-45590: body-parser is Node.js body parsing middleware. body-parser <1.20.3 is vulner...,1.20.3,10-09-2024,0.01535,0,0,0,869a7f56-6060-4309-b78c-49cf4bd6020e,MANAGEMENT,0.5,UNKNOWN,NONE,HIGH,0.75,0.63,52:26.1,2026-06-16T04:53:49.070884+00:00,3.98,LOW,1
